iteration,attempt,source,requested_candidates,raw_candidates,parsed_candidates,accepted_candidates,accepted_total_iteration,llm_error_stage,llm_error_type,llm_error_message,llm_json_found,llm_raw_preview,best_score_before,best_score_after,improved,step,model,train_start,train_end,test_start,test_end
0,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""IRAO"":0.4,""MOEX"":0.2,""SBER"":0.25,""USD000UTSTOM"":0.09,""MGNT"":0.05}},{""weights"":{""SBER"":0.25,""FXIT"":0.3,""USD000UTSTOM"":0.18,""DELI"":0.15,""LQDT"":0.02,""MSNG"":0.1}},{""weights"":{""FXUS"":0.2,""FXCN"":0.2,""FXIT"":0.2,""FXMM"":0.2,""EUR_RUB__TOM"":0.2}}]}",-0.00849531131453062,-0.0031930588143159874,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
1,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""IRAO"":0.35,""MOEX"":0.25,""SBER"":0.20,""USD000UTSTOM"":0.10,""MGNT"":0.10}},{""weights"":{""SBER"":0.20,""IRAO"":0.15,""MOEX"":0.15,""USD000UTSTOM"":0.15,""FXIT"":0.10,""FXMM"":0.10,""EUR_RUB__TOM"":0.05,""FXUS"":0.05}},{""weights"":{""SBER"":0.15,""IRAO"":0.12,""MOEX"":0.12,""USD000UTSTOM"":0.10,""FXIT"":0.10,""FXMM"":0.10,""EUR_RUB__TOM"":0.10,""FXUS"":0.13}}]}",-0.0031930588143159874,0.014175048680639091,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
2,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.25,""IRAO"":0.2,""MOEX"":0.2,""USD000UTSTOM"":0.2,""FXIT"":0.1}},{""weights"":{""SBER"":0.125,""IRAO"":0.125,""MOEX"":0.125,""USD000UTSTOM"":0.125,""FXIT"":0.125,""FXMM"":0.125,""FXUS"":0.125,""EUR_RUB__TOM"":0.125}},{""weights"":{""FXUS"":0.1666666667,""FXCN"":0.1666666667,""FXIT"":0.1666666667,""FXMM"":0.1666666667,""EUR_RUB__TOM"":0.1666666667,""USD000UTSTOM"":0.1666666667}}]}",0.014175048680639091,0.017477334083834888,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
3,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.25,""IRAO"":0.20,""MOEX"":0.20,""USD000UTSTOM"":0.15,""FXIT"":0.15}},{""weights"":{""SBER"":0.18,""IRAO"":0.18,""MOEX"":0.18,""USD000UTSTOM"":0.18,""FXIT"":0.10,""FXUS"":0.10}},{""weights"":{""EUR_RUB__TOM"":0.15,""FXCN"":0.15,""FXMM"":0.15,""FXUS"":0.15,""SBER"":0.10,""IRAO"":0.10,""MOEX"":0.10,""USD000UTSTOM"":0.10}}]}",0.017477334083834888,0.01982422589208424,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
4,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""IRAO"":0.22,""MOEX"":0.20,""FXIT"":0.20,""FXUS"":0.08}},{""weights"":{""SBER"":0.18,""IRAO"":0.18,""MOEX"":0.18,""USD000UTSTOM"":0.18,""FXIT"":0.15,""FXUS"":0.15}},{""weights"":{""FXUS"":0.25,""FXCN"":0.20,""FXMM"":0.20,""FXIT"":0.15,""EUR_RUB__TOM"":0.10,""SBER"":0.10}}]}",0.01982422589208424,0.03152691013966342,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
5,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""IRAO"":0.25,""MOEX"":0.20,""FXIT"":0.20}},{""weights"":{""SBER"":0.25,""IRAO"":0.20,""MOEX"":0.20,""FXUS"":0.15,""FXIT"":0.10,""FXMM"":0.10}},{""weights"":{""SBER"":0.10,""IRAO"":0.10,""MOEX"":0.10,""FXCN"":0.20,""FXMM"":0.20,""EUR_RUB__TOM"":0.15,""FXUS"":0.15}}]}",0.03152691013966342,0.0373088018931194,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
6,1,llm,3,0,0,0,0,validate_response,InvalidCandidateBatch,candidates.1: Input should be a valid dictionary or instance of PortfolioCandidate; candidates.2: Input should be a valid dictionary or instance of PortfolioCandidate,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""IRAO"":0.25,""FXIT"":0.2,""MOEX"":0.1,""FXUS"":0.05,""FXMM"":0.05}},""{\""weights\"":{\""SBER\"":0.25,\""IRAO\"":0.2,\""MOEX\"":0.15,\""FXIT\"":0.15,\""GAZP\"":0.1,\""LKOH\"":0.1}}"",""{\""weights\"":{\""SBER\"":0.14,\""IRAO\"":0.14,\""MOEX\"":0.14,\""FXIT\"":0.14,\""FXUS\"":0.14,\""GAZP\"":0.14,\""LKOH\"":0.14,\""EUR_RUB__TOM\"":0.02}}""]}",0.0373088018931194,0.0373088018931194,False,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
7,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""FXIT"":0.25,""IRAO"":0.20,""MOEX"":0.10,""FXUS"":0.10}},{""weights"":{""SBER"":0.25,""IRAO"":0.20,""MOEX"":0.20,""GAZP"":0.15,""LKOH"":0.20}},{""weights"":{""USD000UTSTOM"":0.20,""FXUS"":0.18,""FXMM"":0.15,""FXIT"":0.15,""SBER"":0.15,""IRAO"":0.10,""MOEX"":0.07}}]}",0.0373088018931194,0.04030637164720058,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
8,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""FXIT"":0.35,""SBER"":0.15,""IRAO"":0.15,""MOEX"":0.15,""FXUS"":0.05,""USD000UTSTOM"":0.1}},{""weights"":{""SBER"":0.3,""IRAO"":0.2,""MOEX"":0.15,""FXIT"":0.15,""FXUS"":0.1}},{""weights"":{""SBER"":0.12,""IRAO"":0.12,""MOEX"":0.12,""USD000UTSTOM"":0.12,""FXUS"":0.12,""FXMM"":0.12,""FXIT"":0.08,""GAZP"":0.08,""LKOH"":0.08,""TATN"":0.04}}]}",0.04030637164720058,0.04030637164720058,False,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
9,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.4,""FXIT"":0.25,""IRAO"":0.15,""MOEX"":0.1,""FXUS"":0.1}},{""weights"":{""SBER"":0.2,""FXIT"":0.15,""IRAO"":0.15,""MOEX"":0.15,""FXUS"":0.15,""USD000UTSTOM"":0.1,""FXMM"":0.1}},{""weights"":{""SBER"":0.15,""FXIT"":0.12,""IRAO"":0.12,""MOEX"":0.12,""FXUS"":0.1,""USD000UTSTOM"":0.1,""FXMM"":0.1,""EUR_RUB__TOM"":0.13,""CHFRUB_TOM"":0.06}}]}",0.04030637164720058,0.048762528903442764,True,99,openai/gpt-oss-20b,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
